"Story","Title","Result","Date","Stability","Duration (s)"
"Update Admin","As an admin I can not update admin with registered email","FAILURE","2023-12-20T23:18:52.5998053+07:00[Asia/Jakarta]","0.0","0.29"
"Update Admin","As an admin I can not update admin with registered username","FAILURE","2023-12-20T23:18:53.1004751+07:00[Asia/Jakarta]","0.0","0.25"
"Complaint Solved Statistic","As an admin I can get complaint solved statistic with valid credentials","ERROR","2023-12-20T23:18:53.5186143+07:00[Asia/Jakarta]","0.0","0.15"
"Complaint Solved Statistic","As an admin I can not get complaint solved statistic with invalid endpoint","ERROR","2023-12-20T23:18:53.6841593+07:00[Asia/Jakarta]","0.0","0.13"
"Complaint Statistic","As an admin I can get complaint statistic with valid credentials","FAILURE","2023-12-20T23:18:54.0118644+07:00[Asia/Jakarta]","0.0","0.13"
"Complaint Statistic","As an admin I can not get complaint statistic with invalid endpoint","FAILURE","2023-12-20T23:18:54.1574087+07:00[Asia/Jakarta]","0.0","0.16"
"Get All User","As a user I can get all user with valid credentials","FAILURE","2023-12-20T23:19:01.3588093+07:00[Asia/Jakarta]","0.0","0.21"
"Get All Category","As a user I can not get all category without token","FAILURE","2023-12-20T23:19:03.1091961+07:00[Asia/Jakarta]","0.0","0.15"
"Get Complaint By Id","As a user I can not get category by id without token","FAILURE","2023-12-20T23:19:03.5203206+07:00[Asia/Jakarta]","0.0","0.12"
"Create Room","As a user I can create room chat with valid credentials","FAILURE","2023-12-20T23:19:03.6758496+07:00[Asia/Jakarta]","0.0","0.19"
"Get All Complaint","As a user I can get all complaint with valid credentials","FAILURE","2023-12-20T23:19:14.0435999+07:00[Asia/Jakarta]","0.0","0.51"
"Get Complaint By Id","As a user I can get complaint by id with valid credentials","FAILURE","2023-12-20T23:19:14.7053102+07:00[Asia/Jakarta]","0.0","0.14"
"FAQ","As a user I can not get all faq without token","FAILURE","2023-12-20T23:19:15.4970691+07:00[Asia/Jakarta]","0.0","0.1"
