"Story","Title","Result","Date","Stability","Duration (s)"
"Reset Password","As a user I can reset password with valid credentials","SUCCESS","2023-12-21T10:46:55.4191794+07:00[Asia/Jakarta]","0.0","0.13"
"Reset Password","As a user I cannot reset password with invalid API Endpoint","SUCCESS","2023-12-21T10:46:55.5721793+07:00[Asia/Jakarta]","0.0","0.1"
"Reset Password","As a user I cannot reset password with invalid request method","SUCCESS","2023-12-21T10:46:55.7051928+07:00[Asia/Jakarta]","0.0","0.12"
"Reset Password","As a user I cannot reset password with invalid token","SUCCESS","2023-12-21T10:46:55.8642051+07:00[Asia/Jakarta]","0.0","0.12"
"Reset Password","As a user I cannot reset password with invalid json data","SUCCESS","2023-12-21T10:46:56.0332152+07:00[Asia/Jakarta]","0.0","0.13"
"Reset Password","As a user I cannot reset password with invalid request credentials","SUCCESS","2023-12-21T10:46:56.1892274+07:00[Asia/Jakarta]","0.0","0.12"
"Search User By Id","As a user I can Search User By Id with valid credentials","SUCCESS","2023-12-21T10:46:56.3392379+07:00[Asia/Jakarta]","0.0","0.12"
"Search User By Id","As a user I cannot Search User By Id with invalid Api Endpoint","SUCCESS","2023-12-21T10:46:56.4722487+07:00[Asia/Jakarta]","0.0","0.08"
"Search User By Id","As a user I cannot Search User By Id with invalid token","SUCCESS","2023-12-21T10:46:56.5682534+07:00[Asia/Jakarta]","0.0","0.12"
"Search User By Id","As a user I cannot Search User By Id with invalid credentials","SUCCESS","2023-12-21T10:46:56.7042689+07:00[Asia/Jakarta]","0.0","0.09"
"Search User By Name","As a user I can Search User By Name with valid credentials","SUCCESS","2023-12-21T10:46:56.8182729+07:00[Asia/Jakarta]","0.0","0.12"
"Search User By Name","As a user I cannot Search User By Name with invalid Api Endpoint","SUCCESS","2023-12-21T10:46:56.9482808+07:00[Asia/Jakarta]","0.0","0.1"
"Search User By Name","As a user I cannot Search User By Name with invalid token","SUCCESS","2023-12-21T10:46:57.057288+07:00[Asia/Jakarta]","0.0","0.1"
"Search User By Name","As a user I cannot Search User By Name with invalid credentials","SUCCESS","2023-12-21T10:46:57.193302+07:00[Asia/Jakarta]","0.0","0.13"
"Update Photo Profile","As a user i can update photo profile with valid credentials","SUCCESS","2023-12-21T10:46:57.3543136+07:00[Asia/Jakarta]","0.0","0.31"
"Update Photo Profile","As a user I cannot update photo profile invalid API Endpoint","SUCCESS","2023-12-21T10:46:57.6793346+07:00[Asia/Jakarta]","0.0","0.11"
"Update Photo Profile","As a user I cannot update photo profile with invalid request method","SUCCESS","2023-12-21T10:46:57.7973444+07:00[Asia/Jakarta]","0.0","0.14"
"Update Photo Profile","As a user I cannot update photo profile with invalid token","SUCCESS","2023-12-21T10:46:57.9513559+07:00[Asia/Jakarta]","0.0","0.12"
"Update Photo Profile","As a user I cannot update photo profile with invalid json data","SUCCESS","2023-12-21T10:46:58.0863627+07:00[Asia/Jakarta]","0.0","0.07"
"Update Photo Profile","As a user I cannot update photo profile with invalid request credentials","SUCCESS","2023-12-21T10:46:58.1703713+07:00[Asia/Jakarta]","0.0","0.08"
"Update User","As a user I can update user with valid credentials","SUCCESS","2023-12-21T10:46:58.2703784+07:00[Asia/Jakarta]","0.0","0.96"
"Update User","As a user I cannot update user with invalid API Endpoint","SUCCESS","2023-12-21T10:46:59.4704683+07:00[Asia/Jakarta]","0.0","0.45"
"Update User","As a user I cannot update user with invalid request method","SUCCESS","2023-12-21T10:47:00.0335107+07:00[Asia/Jakarta]","0.0","0.33"
"Update User","As a user I cannot update user with invalid token","SUCCESS","2023-12-21T10:47:00.3735304+07:00[Asia/Jakarta]","0.0","0.07"
"Update User","As a user I cannot update user with invalid request credentials","SUCCESS","2023-12-21T10:47:00.4615373+07:00[Asia/Jakarta]","0.0","0.08"
"Get All User","As a user I can get all user with valid credentials","SUCCESS","2023-12-21T10:47:00.5545452+07:00[Asia/Jakarta]","0.0","0.16"
"Get All User","As a user I can not get all user with invalid endpoint","SUCCESS","2023-12-21T10:47:00.7421909+07:00[Asia/Jakarta]","0.0","0.13"
"Get All User","As a user I can not get all user with post request","SUCCESS","2023-12-21T10:47:00.8871993+07:00[Asia/Jakarta]","0.0","0.1"
"Get All User","As a user I can not get all user with put request","SUCCESS","2023-12-21T10:47:01.0022092+07:00[Asia/Jakarta]","0.0","0.07"
"User Login","As a user I can login with valid credentials","SUCCESS","2023-12-21T10:47:01.0912151+07:00[Asia/Jakarta]","0.0","0.18"
"User Login","As a user I can not login with unregistered username","SUCCESS","2023-12-21T10:47:01.281229+07:00[Asia/Jakarta]","0.0","0.09"
