"Story","Title","Result","Date","Stability","Duration (s)"
"Register Admin","As an admin I can not register with invalid endpoint","SUCCESS","2023-12-18T02:55:49.9332832+07:00[Asia/Jakarta]","0.0","0.33"
"Register Admin","As an admin I can not register with username of more than 16 characters","SUCCESS","2023-12-18T02:55:50.294516+07:00[Asia/Jakarta]","0.0","0.3"
"Register Admin","As an admin I can not register with empty name","SUCCESS","2023-12-18T02:55:50.6240297+07:00[Asia/Jakarta]","0.0","0.25"
"Register Admin","As an admin I can not register with empty username","SUCCESS","2023-12-18T02:55:50.8911025+07:00[Asia/Jakarta]","0.0","0.27"
"Register Admin","As an admin I can not register with empty email","SUCCESS","2023-12-18T02:55:51.2201219+07:00[Asia/Jakarta]","0.0","0.31"
"Register Admin","As an admin I can not register with empty phone","SUCCESS","2023-12-18T02:55:51.5496759+07:00[Asia/Jakarta]","0.0","0.22"
"Register Admin","As an admin I can not register with empty password","SUCCESS","2023-12-18T02:55:51.7854131+07:00[Asia/Jakarta]","0.0","0.28"
"Register Admin","As an admin I can not register with integer password","SUCCESS","2023-12-18T02:55:52.114928+07:00[Asia/Jakarta]","0.0","0.3"
"Register Admin","As an admin I can not register with registered email","SUCCESS","2023-12-18T02:55:52.4760939+07:00[Asia/Jakarta]","0.0","0.28"
"Register Admin","As an admin I can not register with registered username","SUCCESS","2023-12-18T02:55:52.78998+07:00[Asia/Jakarta]","0.0","0.28"
"Register Admin","As an admin I can not register with get request","SUCCESS","2023-12-18T02:55:53.1189586+07:00[Asia/Jakarta]","0.0","0.45"
"Register Admin","As an admin I can not register with put request","SUCCESS","2023-12-18T02:55:53.605558+07:00[Asia/Jakarta]","0.0","0.2"
"Register Admin","As an admin I can not register with delete request","SUCCESS","2023-12-18T02:55:53.9038063+07:00[Asia/Jakarta]","0.0","0.45"
